Section Code,UDL Capacity,Length,Cost
DHS150/12,5.17,3,8.97
DHS150/12,3.8,3.5,10.465
DHS150/12,2.91,4,11.96
DHS150/12,2.3,4.5,13.455
DHS150/12,1.73,5,14.95
DHS150/12,1.26,5.5,16.445
DHS150/12,0.94,6,17.94
DHS150/12,0.71,6.5,19.435
DHS150/12,0.55,7,20.93
DHS150/12,0.43,7.5,22.425
DHS150/15,5.18,3.5,13.09
DHS150/15,3.96,4,14.96
DHS150/15,3.09,4.5,16.83
DHS150/15,2.29,5,18.7
DHS150/15,1.67,5.5,20.57
DHS150/15,1.24,6,22.44
DHS150/15,0.94,6.5,24.31
DHS150/15,0.72,7,26.18
DHS150/15,0.56,7.5,28.05
DHS150/15,0.44,8,29.92
DHS200/12,5.63,3.5,12.985
DHS200/12,4.31,4,14.84
DHS200/12,3.4,4.5,16.695
DHS200/12,2.69,5,18.55
DHS200/12,2.09,5.5,20.405
DHS200/12,1.63,6,22.26
DHS200/12,1.27,6.5,24.115
DHS200/12,1,7,25.97
DHS200/12,0.81,7.5,27.825
DHS200/12,0.65,8,29.68
DHS200/12,0.53,8.5,31.535
DHS200/12,0.43,9,33.39
DHS200/12,0.35,9.5,35.245
DHS200/12,0.29,10,37.1
DHS200/15,5.91,4,18.6
DHS200/15,4.67,4.5,20.925
DHS200/15,3.78,5,23.25
DHS200/15,3.02,5.5,25.575
DHS200/15,2.35,6,27.9
DHS200/15,1.79,6.5,30.225
DHS200/15,1.39,7,32.55
DHS200/15,1.09,7.5,34.875
DHS200/15,0.87,8,37.2
DHS200/15,0.7,8.5,39.525
DHS200/15,0.57,9,41.85
DHS200/15,0.47,9.5,44.175
DHS200/15,0.38,10,46.5
DHS200/15,0.32,10.5,48.825
DHS200/18,7.6,4,22.36
DHS200/18,6,4.5,25.155
DHS200/18,4.86,5,27.95
DHS200/18,3.85,5.5,30.745
DHS200/18,2.94,6,33.54
DHS200/18,2.24,6.5,36.335
DHS200/18,1.73,7,39.13
DHS200/18,1.36,7.5,41.925
DHS200/18,1.07,8,44.72
DHS200/18,0.85,8.5,47.515
DHS200/18,0.69,9,50.31
DHS200/18,0.56,9.5,53.105
DHS200/18,0.46,10,55.9
DHS200/18,0.38,10.5,58.695
DHS200/18,0.32,11,61.49
DHS200/18,0.27,11.5,64.285
DHS250/13,5.37,4,19.48
DHS250/13,4.77,4.5,21.915
DHS250/13,4.27,5,24.35
DHS250/13,3.43,5.5,26.785
DHS250/13,2.73,6,29.22
DHS250/13,2.2,6.5,31.655
DHS250/13,1.75,7,34.09
DHS250/13,1.41,7.5,36.525
DHS250/13,1.15,8,38.96
DHS250/13,0.94,8.5,41.395
DHS250/13,0.79,9,43.83
DHS250/13,0.66,9.5,46.265
DHS250/13,0.56,10,48.7
DHS250/13,0.48,10.5,51.135
DHS250/13,0.4,11,53.57
DHS250/13,0.34,11.5,56.005
DHS250/13,0.29,12,58.44
DHS250/13,0.25,12.5,60.875
DHS250/15,5.24,5,28.15
DHS250/15,4.31,5.5,30.965
DHS250/15,3.44,6,33.78
DHS250/15,2.77,6.5,36.595
DHS250/15,2.21,7,39.41
DHS250/15,1.78,7.5,42.225
DHS250/15,1.45,8,45.04
DHS250/15,1.2,8.5,47.855
DHS250/15,0.99,9,50.67
DHS250/15,0.82,9.5,53.485
DHS250/15,0.68,10,56.3
DHS250/15,0.57,10.5,59.115
DHS250/15,0.48,11,61.93
DHS250/15,0.41,11.5,64.745
DHS250/15,0.35,12,67.56
DHS250/15,0.3,12.5,70.375
DHS250/15,0.26,13,73.19
DHS250/18,6.77,5,33.8
DHS250/18,5.6,5.5,37.18
DHS250/18,4.63,6,40.56
DHS250/18,3.74,6.5,43.94
DHS250/18,2.98,7,47.32
DHS250/18,2.36,7.5,50.7
DHS250/18,1.88,8,54.08
DHS250/18,1.52,8.5,57.46
DHS250/18,1.24,9,60.84
DHS250/18,1.02,9.5,64.22
DHS250/18,0.85,10,67.6
DHS250/18,0.71,10.5,70.98
DHS250/18,0.59,11,74.36
DHS250/18,0.5,11.5,77.74
DHS250/18,0.42,12,81.12
DHS250/18,0.36,12.5,84.5
DHS250/18,0.31,13,87.88
DHS250/18,0.27,13.5,91.26
DHS250/18,0.23,14,94.64
DHS300/15,5.53,5,33.3
DHS300/15,5.03,5.5,36.63
DHS300/15,4.61,6,39.96
DHS300/15,3.86,6.5,43.29
DHS300/15,3.18,7,46.62
DHS300/15,2.64,7.5,49.95
DHS300/15,2.17,8,53.28
DHS300/15,1.79,8.5,56.61
DHS300/15,1.49,9,59.94
DHS300/15,1.26,9.5,63.27
DHS300/15,1.07,10,66.6
DHS300/15,0.91,10.5,69.93
DHS300/15,0.79,11,73.26
DHS300/15,0.68,11.5,76.59
DHS300/15,0.59,12,79.92
DHS300/15,0.52,12.5,83.25
DHS300/15,0.45,13,86.58
DHS300/15,0.4,13.5,89.91
DHS300/15,0.35,14,93.24
DHS300/15,0.3,14.5,96.57
DHS300/15,0.27,15,99.9
DHS300/15,0.24,15.5,103.23
DHS300/18,5.17,6.5,52.065
DHS300/18,4.26,7,56.07
DHS300/18,3.54,7.5,60.075
DHS300/18,2.91,8,64.08
DHS300/18,2.41,8.5,68.085
DHS300/18,2.02,9,72.09
DHS300/18,1.7,9.5,76.095
DHS300/18,1.45,10,80.1
DHS300/18,1.23,10.5,84.105
DHS300/18,1.04,11,88.11
DHS300/18,0.89,11.5,92.115
DHS300/18,0.76,12,96.12
DHS300/18,0.66,12.5,100.125
DHS300/18,0.57,13,104.13
DHS300/18,0.5,13.5,108.135
DHS300/18,0.43,14,112.14
DHS300/18,0.38,14.5,116.145
DHS300/18,0.33,15,120.15
DHS300/18,0.29,15.5,124.155
DHS300/18,0.26,16,128.16
DHS300/18,0.23,16.5,132.165
DHS350/18,5.15,7,61.81
DHS350/18,4.27,7.5,66.225
DHS350/18,3.52,8,70.64
DHS350/18,2.91,8.5,75.055
DHS350/18,2.43,9,79.47
DHS350/18,2.05,9.5,83.885
DHS350/18,1.74,10,88.3
DHS350/18,1.49,10.5,92.715
DHS350/18,1.28,11,97.13
DHS350/18,1.11,11.5,101.545
DHS350/18,0.97,12,105.96
DHS350/18,0.84,12.5,110.375
DHS350/18,0.73,13,114.79
DHS350/18,0.63,13.5,119.205
DHS350/18,0.55,14,123.62
DHS350/18,0.48,14.5,128.035
DHS350/18,0.42,15,132.45
DHS350/18,0.37,15.5,136.865
DHS350/18,0.33,16,141.28
DHS350/18,0.29,16.5,145.695
DHS350/18,0.26,17,150.11
DHS350/18,0.23,17.5,154.525
DHS350/18,0.21,18,158.94
DHS400/20,5.95,7.5,80.55
DHS400/20,4.91,8,85.92
DHS400/20,4.06,8.5,91.29
DHS400/20,3.39,9,96.66
DHS400/20,2.85,9.5,102.03
DHS400/20,2.42,10,107.4
DHS400/20,2.07,10.5,112.77
DHS400/20,1.79,11,118.14
DHS400/20,1.55,11.5,123.51
DHS400/20,1.35,12,128.88
DHS400/20,1.17,12.5,134.25
DHS400/20,1.01,13,139.62
DHS400/20,0.87,13.5,144.99
DHS400/20,0.76,14,150.36
DHS400/20,0.66,14.5,155.73
DHS400/20,0.58,15,161.1
DHS400/20,0.51,15.5,166.47
DHS400/20,0.45,16,171.84
DHS400/20,0.4,16.5,177.21
DHS400/20,0.36,17,182.58
DHS400/20,0.32,17.5,187.95
DHS400/20,0.29,18,193.32
